"x"
"ABBOTT J"
"ABE A"
"ABEDON ST"
"ABO-SHEHADA M"
"ABOUL-SOUD MAM"
"ABRANTES N"
"ABUBAKAR S"
"ACEVEDO-WHITEHOUSE K"
"ACEVEDO-WHITEHOUSE K"
"ACKER M"
"ACKERMAN JD"
"ACKERMAN JD"
"ACKLEH AS"
"ADAMO SA"
"ADAMO SA"
"ADAMO SA"
"ADAMO SA"
"ADAMS BJ"
"ADEDOTUN AA"
"ADELMAN J"
"ADELMAN JS"
"ADELMAN JS"
"ADELOYE AA"
"ADKINS ST"
"ADLERSTEIN SA"
"ADRIAN AB"
"AGARWAL A"
"AGHA R"
"AGNEW P"
"AGOSTINI S"
"AGRAWAL AF"
"AGUILERA-GÓMEZ LI"
"AHMAD AH"
"AHMAD H"
"AHMED AM"
"AHMED AM"
"AHO JM"
"AÏTBARKA E"
"AKAGI Y"
"AKÇAY E"
"AKIZUKI N"
"AKSOY S"
"AKSOY S"
"AL-KHALIFA KS"
"ALBA JM"
"ALBERTS SC"
"ALBORNOZ P"
"ALBRECHT T"
"ALBRECHT T"
"ALCÁZAR R"
"ALFENAS-ZERBINI P"
"ALFORD RA"
"ALFORD RA"
"ALFORD RA"
"ALGERA DA"
"ALIZON S"
"ALLANDER K"
"ALLEMAND R"
"ALLEN MA"
"ALLEN SM"
"ALLENJR SK"
"ALMEIDA A"
"ALMEIDA FD"
"ALMEIDA IC"
"ALMEIDA P"
"ALMERÃO MP"
"ALONSO-BLANCO C"
"ALSISTO S"
"ALTMANN J"
"ALVAREZ-BLÁZQUEZ B"
"ALVAREZ-MARTINEZ CE"
"ALVARIÑO JMR"
"ALVES F"
"ALVES R"
"AMAR A"
"AMAT-VALERO M"
"AMBROS S"
"AMBROSINI R"
"AMILHAT E"
"AMINI S"
"AMUNDSEN T"
"AMUNDSON CL"
"ANCIÃES M"
"ANDAU M"
"ANDELT WF"
"ANDERSEN"
"ANDERSEN B"
"ANDERSEN C"
"ANDERSEN SB"
"ANDERSON AJ"
"ANDERSON JT"
"ANDERSON RM"
"ANDERSSON DI"
"ANDERSSON M"
"ANDERSSON M"
"ANDERSSON MS"
"ANDERY DA"
"ANDREASEN V"
"ANDREOU D"
"ANDREOU M"
"ANDREWS JE"
"ANDRIVON D"
"ANDRIVON D"
"ANGENENT GC"
"ANHOLETO LA"
"ANNETTI KL"
"ANTONIODELRÍO J"
"ANTONOVICS J"
"ANTONOVICS J"
"ANWAR SA"
"APPLETON CC"
"ARAI H"
"ARAKI AS"
"ARAMBAGE SC"
"ARAUJO LS"
"ARAUJO PB"
"ARAÚJO PM"
"ARBELO M"
"ARCHARD GA"
